dis,sNumber,sTag,servArea,totInc,emInc,numStand,perMet,90Avg,q,rank,rankQ4,dif
CENTRAL,38,FS38,South Melbourne,426,391,363,92.8,6.87,4,14,14,-0.83
SOUTH & EAST REGIONAL,78,FS78,Morwell,69,64,59,92.2,7.32,4,15,15,-0.38
CENTRAL,10,FS10,Richmond,311,280,258,92.1,7.27,4,16,16,-0.43
CENTRAL,4,FS4,Brunswick,258,232,213,91.8,7.57,4,17,17,-0.13
EASTERN,27,FS27,Nunawading,156,120,110,91.7,7.3,4,18,18,-0.4
EASTERN,28,FS28,Vermont South,188,145,133,91.7,7.5,4,19,19,-0.2
NORTHERN,9,FS9,Somerton,85,71,65,91.5,7.65,4,20,20,-0.05
SOUTHERN D1,86,FS86,Rowville,73,58,53,91.4,7.02,4,21,21,-0.68
EASTERN,22,FS22,Ringwood,184,136,124,91.2,7.57,4,22,22,-0.13
NORTHERN,11,FS11,Epping,134,111,101,91,8,4,23,23,0.3
WESTERN D2,44,FS44,Sunshine,209,169,153,90.5,7.75,4,24,24,0.05
SOUTHERN D2,94,FS94,Mornington,90,74,67,90.5,7.53,4,25,25,-0.17
SOUTHERN D2,91,FS91,Frankston,285,240,217,90.4,8.22,4,26,26,0.52
WESTERN D3,64,FS64,Belmont,114,93,84,90.3,7.6,4,27,27,-0.1
EASTERN,85,FS85,Boronia,97,82,74,90.2,7.18,4,28,28,-0.52
SOUTHERN D1,25,FS25,Oakleigh,193,161,145,90.1,7.75,4,29,29,0.05
SOUTHERN D1,24,FS24,Malvern,189,158,141,89.2,8.13,4,30,30,0.43
NORTHERN,16,FS16,Greensborough,111,82,73,89,7.62,4,31,31,-0.08
CENTRAL,39,FS39,Port Melbourne,159,141,125,88.7,7.78,4,32,32,0.08
NORTH & WEST REGIONAL,72,FS72,Mildura,126,106,94,88.7,7.9,4,33,33,0.2
CENTRAL,35,FS35,Windsor,526,472,417,88.3,7.95,4,34,34,0.25
WESTERN D1,47,FS47,Footscray,260,222,196,88.3,8.2,4,35,35,0.5
WESTERN D2,51,FS51,Keilor,142,102,90,88.2,7.95,4,36,36,0.25
SOUTHERN D1,33,FS33,Mentone,166,126,111,88.1,7.9,4,37,37,0.2
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,65,59,52,88.1,7.97,4,38,38,0.27
EASTERN,82,FS82,Eltham City,95,67,59,88.1,8.2,4,39,39,0.5
EASTERN,30,FS30,Templestowe,92,73,64,87.7,7.73,4,40,40,0.03
SOUTH & EAST REGIONAL,75,FS75,Shepparton,162,154,135,87.7,8.22,4,41,41,0.52
NORTHERN,15,FS15,Heidelberg,270,224,196,87.5,8.25,4,42,42,0.55
WESTERN D1,42,FS42,Newport,127,111,97,87.4,7.97,4,43,43,0.27
NORTHERN,81,FS81,South Morang,68,63,55,87.3,7.82,4,44,44,0.12
NORTHERN,7,FS7,Thomastown,160,115,100,87,8.07,4,45,45,0.37
NORTHERN,14,FS14,Bundoora,174,144,125,86.8,7.82,4,46,46,0.12
CENTRAL,18,FS18,Hawthorn,236,191,165,86.4,8.13,4,47,47,0.43
CENTRAL,50,FS50,Ascot Vale,255,229,196,85.6,8.4,4,48,48,0.7
WESTERN D2,48,FS48,Taylors Lakes,74,61,52,85.2,8.47,4,49,49,0.77
NORTH & WEST REGIONAL,68,FS68,Lucas,61,54,46,85.2,8.15,4,50,50,0.45
NORTH & WEST REGIONAL,71,FS71,Portland,31,27,23,85.2,8.05,4,51,51,0.35
SOUTH & EAST REGIONAL,77,FS77,Traralgon,84,73,62,84.9,8.4,4,52,52,0.7
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,62,53,45,84.9,8.17,4,53,53,0.47
SOUTHERN D1,31,FS31,Glen Waverley,281,244,207,84.8,8.38,4,54,54,0.68
SOUTHERN D2,88,FS88,Hallam,190,145,120,82.8,8.87,4,55,55,1.17
SOUTHERN D2,87,FS87,Dandenong,297,242,200,82.6,8.83,4,56,56,1.13
WESTERN D1,46,FS46,Altona,46,34,28,82.4,7.83,4,57,57,0.13
SOUTHERN D2,93,FS93,Pakenham,102,85,70,82.4,9.75,4,58,58,2.05
CENTRAL,13,FS13,Northcote,182,141,116,82.3,8.58,4,59,59,0.88
NORTH & WEST REGIONAL,70,FS70,Warrnambool,104,90,74,82.2,8.7,4,60,60,1
EASTERN,19,FS19,North Balwyn,147,122,100,82,9.2,4,61,61,1.5
SOUTHERN D1,32,FS32,Ormond,250,206,169,82,8.6,4,62,62,0.9
SOUTHERN D1,89,FS89,Springvale,202,157,128,81.5,8.62,4,63,63,0.92
WESTERN D3,62,FS62,Corio,207,165,134,81.2,8.13,4,64,64,0.43
NORTH & WEST REGIONAL,73,FS73,Bendigo,214,188,152,80.9,8.57,4,65,65,0.87
SOUTH & EAST REGIONAL,76,FS76,Wodonga,115,99,80,80.8,8.45,4,66,66,0.75
SOUTHERN D2,92,FS92,Cranbourne,230,177,143,80.8,9.08,4,67,67,1.38
SOUTHERN D1,34,FS34,Highett,235,185,149,80.5,8.37,4,68,68,0.67
NORTHERN,5,FS5,Broadmeadows,260,206,165,80.1,8.57,4,69,69,0.87
EASTERN,84,FS84,South Warrandyte,36,25,20,80,8.42,4,70,70,0.72
WESTERN D1,45,FS45,Spotswood,159,116,92,79.3,8.8,4,71,71,1.1
NORTHERN,6,FS6,Pascoe Vale,164,129,102,79.1,9.2,4,72,72,1.5
WESTERN D2,43,FS43,Deer Park,141,115,91,79.1,8.82,4,73,73,1.12
WESTERN D1,40,FS40,Laverton,92,71,56,78.9,8.87,4,74,74,1.17
SOUTHERN D2,90,FS90,Patterson River,94,74,57,77,9.68,4,75,75,1.98
WESTERN D2,53,FS53,Sunbury,92,77,59,76.6,9.18,4,76,76,1.48
NORTHERN,80,FS80,Craigieburn,158,120,91,75.8,9.4,4,77,77,1.7
WESTERN D2,56,FS56,Melton,246,209,158,75.6,9.5,4,78,78,1.8
WESTERN D1,58,FS58,Point Cook,147,127,96,75.6,10.47,4,79,79,2.77
WESTERN D2,52,FS52,Tullamarine,123,103,75,72.8,9.48,4,80,80,1.78
WESTERN D2,54,FS54,Greenvale,65,54,37,68.5,10.97,4,81,81,3.27
WESTERN D1,57,FS57,Tarneit,259,209,140,67,10.97,4,82,82,3.27
WESTERN D3,61,FS61,Lara,64,57,38,66.7,10.42,4,83,83,2.72
WESTERN D2,55,FS55,Caroline Springs,195,158,103,65.2,9.98,4,84,84,2.28
WESTERN D1,59,FS59,Derrimut,125,108,70,64.8,9.33,4,85,85,1.63
datumLine,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0
datumLine,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,0
datumLine,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,0
datumLine,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,-1,0
